q0	q1	q2	q3
0.9238795325	0	-0.3826834324	0
0.3826834324	0	-0.9238795325	0
0.3826834324	0	0.9238795325	0
0.9238795325	0	0.3826834324	0
0.8535533906	0.1464466094	-0.3535533906	0.3535533906
0.3535533906	0.3535533906	-0.8535533906	0.1464466094
0.3535533906	-0.3535533906	0.8535533906	0.1464466094
0.8535533906	-0.1464466094	0.3535533906	0.3535533906
0.3535533906	0.3535533906	-0.1464466094	0.8535533906
0.1464466094	0.8535533906	-0.3535533906	0.3535533906
0.1464466094	-0.8535533906	0.3535533906	0.3535533906
0.3535533906	-0.3535533906	0.1464466094	0.8535533906
0.3535533906	-0.3535533906	-0.1464466094	-0.8535533906
0.1464466094	-0.8535533906	-0.3535533906	-0.3535533906
0.1464466094	0.8535533906	0.3535533906	-0.3535533906
0.3535533906	0.3535533906	0.1464466094	-0.8535533906
0.8535533906	-0.1464466094	-0.3535533906	-0.3535533906
0.3535533906	-0.3535533906	-0.8535533906	-0.1464466094
0.3535533906	0.3535533906	0.8535533906	-0.1464466094
0.8535533906	0.1464466094	0.3535533906	-0.3535533906
0.8535533906	0.3535533906	-0.3535533906	0.1464466094
0.3535533906	0.1464466094	-0.8535533906	0.3535533906
0.3535533906	0.1464466094	0.8535533906	-0.3535533906
0.8535533906	0.3535533906	0.3535533906	-0.1464466094
0.3535533906	0.8535533906	-0.1464466094	0.3535533906
0.1464466094	0.3535533906	-0.3535533906	0.8535533906
0.1464466094	0.3535533906	0.3535533906	-0.8535533906
0.3535533906	0.8535533906	0.1464466094	-0.3535533906
0.3535533906	-0.8535533906	-0.1464466094	-0.3535533906
0.1464466094	-0.3535533906	-0.3535533906	-0.8535533906
0.1464466094	-0.3535533906	0.3535533906	0.8535533906
0.3535533906	-0.8535533906	0.1464466094	0.3535533906
0.8535533906	-0.3535533906	-0.3535533906	-0.1464466094
0.3535533906	-0.1464466094	-0.8535533906	-0.3535533906
0.3535533906	-0.1464466094	0.8535533906	0.3535533906
0.8535533906	-0.3535533906	0.3535533906	0.1464466094
0.8535533906	0.3535533906	0.1464466094	0.3535533906
0.3535533906	0.8535533906	0.3535533906	0.1464466094
0.3535533906	-0.8535533906	-0.3535533906	0.1464466094
0.8535533906	-0.3535533906	-0.1464466094	0.3535533906
0.3535533906	0.1464466094	0.3535533906	0.8535533906
0.1464466094	0.3535533906	0.8535533906	0.3535533906
0.1464466094	-0.3535533906	-0.8535533906	0.3535533906
0.3535533906	-0.1464466094	-0.3535533906	0.8535533906
0.3535533906	0.1464466094	-0.3535533906	-0.8535533906
0.1464466094	0.3535533906	-0.8535533906	-0.3535533906
0.1464466094	-0.3535533906	0.8535533906	-0.3535533906
0.3535533906	-0.1464466094	0.3535533906	-0.8535533906
0.8535533906	0.3535533906	-0.1464466094	-0.3535533906
0.3535533906	0.8535533906	-0.3535533906	-0.1464466094
0.3535533906	-0.8535533906	0.3535533906	-0.1464466094
0.8535533906	-0.3535533906	0.1464466094	-0.3535533906
0.9238795325	0.3826834324	0	0
0.3826834324	0.9238795325	0	0
0.3826834324	-0.9238795325	0	0
0.9238795325	-0.3826834324	0	0
0.9238795325	0	0	0.382683
0.3826834324	0	0	0.923879
0.3826834324	0	0	-0.923879
0.9238795325	0	0	-0.382683
0.923879532511287	0	0.38268343236509	0
0.38268343236509	0	0.923879532511287	0
0.38268343236509	0	-0.923879532511287	0
0.923879532511287	0	-0.38268343236509	0
